id,fecha,central_del_norte,central_poniente,central_oriente,central_sur,total
0,28/02/2010,"1,323,655","636,525",497.97,315.84,"2,773,990"
1,28/07/2010,"1,390,052","727,08",613.695,373.665,"3,104,492"
2,28/08/2010,"1,140,445","729,12",601.725,366.51,"2,837,800"
3,28/10/2010,"1,390,366","702,693",592.32,359.535,"3,044,914"
4,28/01/2011,"1,010,760","726,405",618.915,365.325,"2,721,405"
5,28/02/2011,"820,692","660,255",548.955,326.145,"2,356,047"
6,28/03/2011,"977,86","734,415",604.365,363.03,"2,679,670"
7,28/10/2011,"1,015,096","743,25",604.47,380.67,"2,743,486"
8,28/11/2011,"1,426,016","722,265",579.945,365.94,"3,094,166"
9,28/01/2012,"1,001,352","745,26",605.37,378.555,"2,730,537"
10,28/09/2012,"1,381,842","734,22",579.21,386.415,"3,081,687"
11,28/02/2013,"1,092,568","679,38",529.65,450.679,"2,752,277"
12,28/05/2013,"923,808","754,65",585.105,431.642,"2,695,205"
13,28/06/2013,"930,947","735,825",570.105,469.618,"2,706,495"
14,28/07/2013,"1,160,289","757,53",616.83,541.587,"3,076,236"
15,28/08/2013,"1,053,485","762,09",607.26,484.94,"2,907,775"
16,28/11/2013,"921,451","751,305",576.99,496.548,"2,746,294"
17,28/01/2014,"946,545","978,266",770.72,477.543,"3,173,074"
18,28/05/2014,"932,027","871,913",653.599,473.18,"2,930,719"
19,28/05/2015,"977,433","888,726",671.313,492.744,"3,030,216"
20,28/06/2015,"878,93","957,53",716.966,447.719,"3,001,145"
21,28/08/2015,"1,135,409","1,094,378",825.367,546.749,"3,601,903"
22,28/11/2015,"939,315","885,236",695.739,462.579,"2,982,869"
23,28/02/2016,"845,111","866,723",679.876,446.756,"2,838,466"
24,28/05/2016,"1,005,945","966,502",751.961,493.239,"3,217,647"
25,28/07/2016,"1,218,610","1,063,122",825.91,569.659,"3,677,301"
26,28/8/2016,"1,101,572","1,011,312",809.58,509.439,"3,431,903"
27,28/12/2016,"1,295,827","1,182,089",920.514,599.814,"3,998,244"
28,28/01/2017,"974,108","875,6",678.128,475.882,"3,003,718"
29,28/03/2017,"974,334","879,011",852.185,475.405,"3,180,935"
30,28/07/2017,"1,219,122","1,103,285",842.552,542.4,"3,707,359"
31,28/08/2017,"1,053,970","1,110,876",785.546,509.297,"3,459,689"
32,28/09/2017,"1,237,262","961,448",789.34,401.846,"3,389,896"
33,28/12/2017,"1,090,423","956,666",771.454,626.171,"3,444,714"
34,28/02/2018,"852,477","787,12",679.82,423.451,"2,742,868"
35,28/03/2018,"1,120,842","1,035,519",847.174,573.29,"3,576,825"
36,28/07/2018,"1,241,765",0,874.485,559.421,"2,675,671"
37,28/08/2018,"1,130,696",0,869.828,,"2,000,524"
38,28/11/2018,"1,022,214",0,873.642,,"1,895,856"
39,28/12/2018,"1,343,045",0,897.006,,"2,240,051"
40,28/07/2019,"1,238,752","1,268,344",,,"3,609,428"
41,28/10/2019,"946,032","945,693",810.726,,"2,702,451"
42,28/01/2020,0,"917,259",816.396,,"1,733,655"
43,28/04/2020,0,0,,,-
44,28/08/2020,,,,,
45,28/10/2020,,,,,
46,28/11/2020,,,,,
47,28/01/2010,"1,341,349","703,44",595.35,366.63,"3,006,769"
48,28/05/2010,"1,451,972","727,56",593.79,357.015,"3,130,337"
49,28/06/2010,"1,347,232","686,1",566.4,337.77,"2,937,502"
50,28/11/2010,"1,524,624","705,87",576.285,355.236,"3,162,015"
51,28/06/2011,"1,025,923","711,06",578.55,346.155,"2,661,688"
